"","QBC-092","QBC-256","QBC-107","QBC-171","QPRC-110","QBC-240","QPRC-019","QBC-183","QBC-086","QPRC-039","QBC-232","QPRC-104","QBC-119","QBC-269","QBC-247","QBC-031","QBC-268","QBC-173","QBC-210","QPRC-108","QPRC-115","QIGR-005","QBC-264","QBC-286","QPRC-012","QPRC-106","QBC-205","QBC-046","QBC-018","QBC-170","QBC-174","QBC-035","QBC-064","QBC-179","QBC-280","QBC-166","QBC-267","QBC-015","QPRC-101","QBC-242","QBC-241","QBC-038","QBC-008","QBC-229","QPRC-047","QBC-080","QPRC-008","QBC-260","QBC-298","QBC-095","QPRC-064","QBC-003","QBC-294","QBC-270","QBC-058","QBC-207","QPRC-005","QBC-243","QBC-049","QIGR-026","QBC-239","QBC-200","QBC-051","QBC-178","QBC-017","QBC-139","QBC-062","QPRC-059","QBC-252","QPRC-025","QBC-078","QBC-262","QBC-204","QPRC-010","QPRC-021","QPRC-096","QPRC-116","QBC-251","QBC-213","QBC-303","QBC-002","QBC-263","QPRC-060","QBC-023","QBC-255","QPRC-102","QPRC-003","QPRC-006","QPRC-041","QBC-203","QBC-223","QBC-246","QBC-284","QBC-289","QPRC-048","QBC-272","QBC-167","QBC-105","QBC-141","QBC-261","QBC-299","QBC-192","QBC-001","QBC-287","QBC-036","QBC-254","QBC-053","QPRC-009","QBC-257","QBC-212","QBC-165","QPRC-007","QBC-054_r1","QBC-258","QPRC-120","QBC-222","QBC-233","QBC-043","QBC-024","QPRC-111","QBC-020","QBC-244","QBC-206","QBC-216","QPRC-013","QBC-014","QBC-285","QIGR-009","QBC-126","QBC-016","QPRC-004","QBC-077","QBC-228","QBC-201","QBC-276","QPRC-042","QBC-159","QBC-044","QPRC-105","QBC-296","QBC-209","QBC-250","QBC-235","QBC-265","QBC-113","QBC-019","QBC-277","QPRC-095","QBC-068","QIGR-042","QBC-288","QBC-211","QBC-104","QPRC-098","QBC-278","QBC-197"
"QBC-092",0.5,0,0,0,0,0,0,0,0,0.00516954176906909,0,0,0.00533043165166368,0,0.00447874368798717,0,0.0042446191893479,0,0.00208465779988657,0,0,0,0,0,0,0,0,0,0.00369194873744282,0.00191349655779336,0,0,0,0,0,0,0,0.00461558963860268,0,0,0,0,0,0,0,0,0.00176579809222182,0,0,0,0,0,0,0.00324950370030009,0.00229600355653991,0.00281848071994106,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00246079580653231,0,0,0,0.00270563220167706,0.00267507807889221,0,0.00377806317815705,0,0,0,0.00188150554153355,0,0,0,0.00428734285122085,0.00311213754326367,0.00317761380273181,0,0,0,0,0,0.00225974142972875,0,0,0,0,0,0,0,0,0,0,0,0,0.00217277622627125,0.0020979855324524,0,0,0,0,0,0,0,0,0,0.00211646382035772,0.00337159161185953,0,0,0,0.00371791787584906,0,0.00388451549929917,0,0.0037166531986967,0,0,0,0,0.00218098210917749,0,0.00117445383925013,0,0,0,0,0.00370820004654996,0,0,0,0.00431812131478847,0,0,0.00298803707103112,0,0,0,0,0,0,0,0,0,0.0019940419255436,0
"QBC-256",0,0.5,0.00363096856548611,0,0,0,0,0.0037250674584341,0,0,0,0,0,0,0,0,0,0.00332298375944458,0,0,0.00395155652998275,0.00556048093605539,0.0125227533178767,0,0,0.00248937713895955,0,0.00354503316569946,0,0,0.00327939019411895,0.00409300604631902,0,0,0.00589182596301795,0,0.00561281547660266,0,0.00372361512846883,0,0,0,0,0,0,0.00916099417277333,0,0.00235804562035842,0.00371012459258001,0,0,0,0,0,0,0,0,0,0.00792327213946396,0,0,0.00369941327400239,0.00241092021245904,0,0,0,0.00328630491185982,0,0,0,0,0.00274770378127827,0.00189818098537559,0,0,0.00212185986088448,0,0,0.00586816906978588,0.00257504673859687,0,0.00323376483562749,0.00154785114627277,0,0,0.00250769899478721,0,0,0,0.00277354357631128,0,0.00201208504196583,0,0,0,0.00836329571095599,0,0.00235670793390908,0,0.00320644285718845,0.00372977431841052,0,0,0.00371033379044375,0.00718968745835997,0,0,0,0.0100486968171883,0,0,0.0032948073020539,0,0,0.00231651800115088,0.00338370865736109,0,0,0,0,0.00331691858685902,0,0.00354474172213667,0,0,0,0.00190541205271099,0.00405907374225739,0,0,0,0,0,0.0020078977353963,0,0,0,0,0,0,0,0,0.00584122266108395,0,0,0,0.00536381689397578,0,0,0.00214872922709924,0,0,0,0,0,0
"QBC-107",0,0.00363096856548611,0.5,0,0,0,0,0,0,0,0.00216742243643339,0,0,0,0,0,0,0,0,0,0.00603101472983777,0.00530633831990665,0,0,0,0,0,0.00684568759553479,0,0,0,0.00493343603511548,0,0,0,0,0.00258727901835446,0,0.00216287592032573,0,0,0,0,0.00211138332355503,0,0.00810429553856382,0,0.00926399752106545,0,0,0.00217642479257313,0,0,0,0,0,0.00334301393262117,0,0.00371496858725678,0,0,0.00809294009170404,0.00359183514437371,0,0,0.00440308317221851,0.00371200094888203,0,0,0,0,0,0.00226797877671091,0,0,0.00325974340199055,0,0,0.014147538945131,0.00149378557636217,0,0.00351295266445641,0.00299892010482403,0,0,0,0,0,0.00370905956387237,0.00920634403882746,0.00341357212205907,0,0,0,0,0.00361805961233571,0,0.00325582452549466,0,0.00262515506822543,0.00736199811132334,0,0.00270707280422234,0.00306534840886626,0,0.00173149645523794,0,0.00275951108307734,0.00755817891114181,0,0,0.0044129369718281,0,0,0.00182734976586549,0.00496121259924901,0,0,0,0.00194085119539543,0.00471626152689687,0,0.00274650565960371,0,0,0,0.00302794780089892,0.00635183038326999,0,0.00305236320133008,0,0.00535085108928031,0,0,0.00219798022372678,0.00378205126366298,0,0,0.0070149540560705,0,0.00194344682260687,0,0,0,0,0,0,0.00182478456732393,0,0.00448493402579981,0,0.00170145439695175,0,0,0,0
"QBC-171",0,0,0,0.5,0.00349099118598993,0.00373478517489136,0.00194901138891252,0,0,0,0,0,0,0.00340077323790978,0.00347130271774117,0,0,0,0,0.00206662269851256,0,0,0,0.0030142573261375,0,0,0,0,0,0,0,0,0,0,0.00943348266770926,0,0,0.00371085907288711,0,0.0226131373947132,0.0180456763753199,0.0083586209748977,0,0,0,0,0.00287033750922583,0,0,0,0,0,0,0,0,0,0.00555462259580512,0,0,0,0.00547178049442704,0,0.00279925993048034,0,0,0,0,0.00278671452808784,0,0,0,0,0,0,0.0169489488583625,0.00261523227018972,0,0,0,0,0.00217105260567921,0,0,0,0,0,0.0051325469090327,0,0.00297302857638741,0,0,0,0.00343352230061434,0,0.0120123718136304,0,0,0,0.00252212685587714,0,0,0,0,0,0,0,0,0.0112636586682008,0,0,0,0,0,0,0.00949759130838779,0,0.00797248241273118,0,0.00401617300645624,0,0,0,0,0,0.00164455409951655,0,0,0,0.00848690046030365,0,0.0142241160280612,0,0,0,0,0.00484198850074688,0,0.0156795495422845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"QPRC-110",0,0,0,0.00349099118598993,0.5,0,0,0,0.0147361501330137,0.00298148365591775,0,0,0,0,0,0,0,0,0,0.00912036091505856,0,0,0,0,0.0131257995707514,0,0.0105251738172865,0,0,0.00371111086520108,0,0,0,0,0,0.00213525894467565,0,0.0090189008957456,0,0.00927446245003371,0.0146245738518789,0,0.00297426117800427,0,0,0,0.00665923453176224,0,0,0,0,0,0,0,0.00249815021420553,0.012152035336166,0,0,0,0.00223605973191704,0.00853772875635528,0,0,0.0026774868283577,0,0.00294194300847354,0,0,0,0.0115899862236378,0.00278986047357655,0,0,0,0.00725956565161876,0,0,0,0,0,0.00863887233074829,0,0,0,0,0.00591427391113182,0.0147443960040537,0,0,0,0,0,0.00941798002771651,0.00871405015925958,0,0,0.00371548541561643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00982395210428208,0,0,0.00904717475670762,0,0.0128197215073221,0,0,0,0.00217241336924675,0.0080766494043989,0,0.00477741069760308,0,0,0,0,0.0119592454001449,0,0.0125310555729773,0,0,0,0,0.00884624900545721,0,0,0,0,0,0,0,0,0,0.00471322425128983,0,0,0,0,0,0,0,0
"QBC-240",0,0,0,0.00373478517489136,0,0.5,0,0,0.00431027720997617,0.00226401887740722,0,0,0.00785231715709646,0,0.0131410962060363,0,0.0127216560892997,0,0.00892103093133528,0,0,0,0,0,0,0,0,0,0.0100949619127063,0.00593627625068504,0,0,0,0.00820111494210986,0,0,0,0,0,0.0140969700476855,0.0195091200300022,0.0152784444237363,0,0,0,0,0.0028450370918203,0,0,0,0,0.00540243096731072,0,0.00197221178823334,0.0109519908570785,0,0,0,0,0,0,0,0,0,0.0111838381034226,0,0,0,0,0,0,0,0,0.0113887153784031,0.0142629851945684,0,0.0104803297434157,0,0,0,0.00139407000417911,0,0,0,0.0103012769407135,0,0.00197460622039581,0,0,0,0,0,0.00304269206948419,0,0,0,0.00140180281142769,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00149724768628847,0,0.00196599217677278,0,0,0,0.00207971612708825,0.0116672702365219,0.00371094015651987,0,0,0.00787954169557768,0,0.00583330020980921,0,0.00333133889929753,0,0,0,0,0.0168560939512998,0,0,0,0,0,0.00406232238720685,0.0192962588534659,0,0,0,0.0143013359866837,0,0.00999286628623363,0,0.00209778497355942,0,0,0,0,0,0,0.00252995874872206,0,0,0.00326473764055369
"QPRC-019",0,0,0,0.00194901138891252,0,0,0.5,0.00900660432165177,0,0,0,0,0,0.0321260929382777,0,0,0,0,0,0,0,0,0,0.0262032310916456,0,0,0,0.00371018492513481,0,0,0.00214305777487946,0.00185504700371252,0,0,0.0245919103294012,0,0.00372108848439962,0,0,0,0,0,0,0.00370885754975464,0,0.00311335039153901,0,0,0.00782932597928284,0.0035238555994433,0.0261183837229304,0,0.00467840231933438,0,0,0,0.0197947412320365,0,0.00370925713030986,0,0,0.00239020046094275,0.0242297038910856,0,0,0,0.00235747280527875,0.0307404198177024,0.020720514182193,0,0,0,0,0,0,0.0502722954694671,0,0,0,0.00715638470173487,0,0,0.00738256142094163,0.00302084465308234,0,0,0,0,0.0223272705534021,0.00181884992501328,0.00295852119315414,0.00597266177342285,0,0,0.0220031813661193,0,0,0.00269714482651055,0.0278059684469038,0,0.00220002540744802,0,0,0,0.00152401621301798,0,0,0.1036614507133,0.00216086939154892,0,0,0.00402674552801693,0,0,0.023191532849517,0.00365825254296271,0,0,0,0.00370906511633537,0,0,0,0,0.044800514542071,0,0.00181498669422013,0,0.0405160958865096,0,0,0,0,0.0298325250470205,0,0.0397564175228617,0,0,0,0,0,0,0.00962990152138479,0,0,0,0.00289764967216996,0,0,0.00691352860672054,0,0.0590280501519172,0,0,0,0
"QBC-183",0,0.0037250674584341,0,0,0,0,0.00900660432165177,0.5,0,0,0,0,0,0.00662087339459186,0,0,0,0.00713834377256123,0,0,0.00617889083134525,0,0.00292592574628324,0.00370963632794005,0,0,0,0.0037133270737314,0,0,0.00620954237936208,0.0108902637391989,0,0,0.0129753877703071,0,0.00286704508876096,0,0.0045966675258106,0,0,0,0,0.00569431277419954,0,0.00362392422748103,0,0.00330583122112266,0.00617846839561958,0.00505463714400784,0.0104298869360039,0,0,0,0,0,0.00863376217099128,0.00181795128050283,0.0021453874474328,0,0,0.00285259501474737,0.00645016832214082,0,0,0,0,0.0102568264711474,0.00371374992744481,0,0,0.0066517928606726,0.00299101029152968,0,0,0.00897546837486705,0,0,0,0.00799021305628285,0,0.00498581173383566,0.00829083420043998,0.0115665233433052,0,0,0,0.0034093888172734,0.0079771869385939,0.00280694224050623,0,0.00988431934621877,0,0,0.00845757680133439,0,0,0.00439421503957893,0.00932691883396364,0.00191135711415854,0,0,0.00225081104357035,0.0084823092075882,0.0103054308577734,0,0,0.00335202463063694,0.00478735349809275,0,0,0.00565343652146233,0,0,0.00931392078345703,0.00486876848201184,0,0,0,0.00331430593284417,0,0,0,0,0.00255278646658486,0,0.00591020793263824,0.00260386706476261,0.00561005071446817,0.00224637935369774,0,0.00387692975114924,0,0.00304871070083521,0,0.0046794774083114,0,0,0,0.00228830558701516,0,0,0.00476340570643964,0,0,0,0.0025592401901929,0,0,0.00806652151515934,0.00265200536436469,0.00824592088467191,0,0.00163641746277944,0,0
"QBC-086",0,0,0,0,0.0147361501330137,0.00431027720997617,0,0,0.5,0,0.0034575705255868,0,0,0,0,0,0,0,0,0.00699529601269974,0,0,0,0,0.00875995146157544,0,0.0095267493352189,0,0,0.00665300965010183,0,0,0,0,0,0,0,0.00806355768696883,0,0.0106915939140116,0.00825844640039286,0,0,0,0,0,0.00845465913630994,0,0,0,0,0,0,0,0.00249375606341335,0.00947016111758069,0,0.00170663990107118,0,0.00316319449620851,0.00931143466297338,0,0,0.00724179571483309,0,0,0,0,0,0.00921143272455414,0,0,0,0,0.00614321095232506,0,0,0.00256813930362107,0,0,0.00750346995154964,0,0,0,0,0.00440301699523623,0.00722967147652668,0,0,0,0,0,0.00857820527134584,0.00709668987444975,0,0,0.00498462706816777,0,0,0,0,0,0.00246809304577768,0,0,0,0,0,0,0,0,0,0,0.0116682635822064,0,0,0.00897799093614587,0,0.0133835433201149,0,0,0,0.00376316614299219,0.00631988427317671,0,0.00371274659366752,0,0,0,0,0.0100727221154274,0,0.00636137140468974,0,0,0,0,0.0110219490615647,0,0,0,0,0,0,0.0052194472460409,0,0,0.00216856088567983,0,0,0,0,0,0,0,0.0016737568928232
"QPRC-039",0.00516954176906909,0,0,0,0.00298148365591775,0.00226401887740722,0,0,0,0.5,0,0,0.00444511778684049,0,0.0061739222311481,0,0.00569986667225501,0,0.00803884331818452,0,0,0,0,0,0.00371546877684453,0,0.00416038658897252,0,0.00503041596106042,0.00405888708989937,0,0,0,0.00323688483082282,0,0,0,0.00236037814299035,0,0.00179537804375716,0.00324168014214733,0.00331436493687666,0,0,0.00217091610345903,0,0.00173464047745622,0,0,0,0,0.00249871625687156,0,0.00396847970434612,0,0.00216250429904739,0,0,0,0,0,0,0,0,0.00543152319349955,0,0,0,0,0.00246704228707039,0,0,0,0.00621527006988043,0.00271624502670305,0,0.00407450132009476,0,0,0,0,0,0,0,0.00561077484552761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0033241779918365,0,0,0,0,0,0,0,0.00199861668660657,0.00417694912260799,0,0,0,0,0,0.00278920601022711,0.00380514816627482,0.00370935469863278,0,0,0.00447819149628926,0,0,0,0.00206480853886019,0,0,0,0,0,0,0.0020149649255155,0,0,0,0.00277071085415918,0.00242007845464204,0,0,0,0.00780540697042591,0,0.00395543960981415,0,0,0,0,0,0,0,0,0,0,0,0.00203180086728654
